Epoch, Learning Rate, Mean Accuracy 
100, 0.05, 0.9424999356269836
100, 0.060000000000000005, 0.9412499666213989
100, 0.07, 0.9387499690055847
100, 0.08000000000000002, 0.9412499666213989
100, 0.09000000000000001, 0.9412500262260437
100, 0.1, 0.9424999952316284
200, 0.05, 0.9412499666213989
200, 0.060000000000000005, 0.9449999928474426
200, 0.07, 0.9412500262260437
200, 0.08000000000000002, 0.9399999380111694
200, 0.09000000000000001, 0.9399999380111694
200, 0.1, 0.9362499117851257
100, 0.01, 0.9237500429153442
100, 0.02, 0.9362500309944153
100, 0.03, 0.9437500238418579
100, 0.04, 0.9424999952316284
200, 0.01, 0.9424999952316284
200, 0.02, 0.9424999952316284
200, 0.03, 0.9412499666213989
200, 0.04, 0.9437500238418579
100, 0.1, 0.9387499690055847
100, 0.2, 0.9375
100, 0.30000000000000004, 0.9375
100, 0.4, 0.9387499690055847
100, 0.5, 0.940000057220459
200, 0.1, 0.9399999380111694
200, 0.2, 0.9362500309944153
200, 0.30000000000000004, 0.9362500309944153
200, 0.4, 0.9412499666213989
200, 0.5, 0.9387499690055847
